job_title,company_title,job_description
Remote Data Science Analyst,Turing,"A top US client is looking to hire Data Scientists.

As a Data Scientist on our team, your daily responsibilities will involve conducting thorough peer code reviews and offering insightful feedback for improvement. Additionally, you'll collaborate closely with researchers and other stakeholders to align with project requirements.

Job Responsibilities

Create Python codes and analyze public datasets for insights.
Work closely with researchers to stay aligned with company targets.
Use Jupyter notebooks for coding processes
Work with data to answer work-related queries using public sources like Kaggle or alternatives.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or similar
Data scientist with a track record of at least 2 years.
2 years dedicated to data analysis.
Proven proficiency in Python through 2 years of professional practice.
Strong understanding of data science and analysis principles.
Fluent in spoken and written English.

Nice To Have

Proficiency in SQL is advantageous.
Possessing strong problem-solving and analytical abilities.

Job Benefits

Collaborate with top experts worldwide and join a network aligned with your goals
Enjoy remote work flexibility without traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Elevate your career prospects by joining us today. Finish the tests and MCQs to improve your chances of landing one of our exciting positions. Seize this opportunity to play a pivotal role in our mission and revolutionize the technology landscape for all."
Risk-Bengaluru-Analyst-Analytics & Reporting,Goldman Sachs,"Job Description

The Risk division is responsible for credit, market and operational risk, model risk, independent liquidity risk, and insurance throughout the firm.

RISK BUSINESS

The Risk Business identifies, monitors, evaluates, and manages the firm’s financial and non-financial risks in support of the firm’s Risk Appetite Statement and the firm’s strategic plan. Operating in a fast paced and dynamic environment and utilizing the best in class risk tools and frameworks, Risk teams are analytically curious, have an aptitude to challenge, and an unwavering commitment to excellence.

BUSINESS UNIT: Analytics & Reporting is a group within Risk Engineering in the Risk Division of Goldman Sachs. The group is responsible for reviewing, publishing, explaining, analyzing & communicating the firm’s risk & capital metrics.

More broadly, Risk Engineering is a multidisciplinary group of quantitative experts who are the authoritative producers of independent risk & capital metrics for the firm. Risk Engineering, as a whole, is responsible for designing, implementing, executing, reviewing, interpreting, explaining and communicating risk & capital metrics used to independently ensure the firm adheres to its Risk Appetite and maintains the appropriate amount of Risk Capital.

For further context, Risk Engineering is organized into the following subgroups:

 Analytics & Reporting 
 Risk Strategists 
 Risk Applications Platform & Data (RAPD) 
 Risk Architecture 

Responsibilities

A&R are responsible for reviewing, publishing, interpreting and communicating the firm’s independent and authoritative risk & capital measures, which includes:

 Developing & maintaining engaging approaches to share curated risk insights through interactive dashboard tools. 
 Enhancing and managing processes that quantify, review, explain & convey insight for risk & capital measurements for a large, diverse set of financial products or activities covering the whole Firm. Either on an activity by activity basis or in aggregate.
 This involves developing and utilizing tools & signals to assist understanding risk & capital metrics, at varying levels of aggregation across the Firm, in order to discover insight while ensuring metrics continue to operate in line with intent. 
 Understanding financial & non-financial risk by analyzing pricing, risk & capital model outputs to evaluate, explain and justify features observed in the Firm’s risk data. 
 Automation engineering to improve control, reduce operational risks & costs and enhance the Firm’s metric timeliness & availability increasing awareness of significant risks 
 Testing, developing & integrating new/updated workflows and documentation 
 Providing independent risk & capital metric process consulting for new or existing business activities in the Firm. 
 Liaising with groups such as Modelers/Strats, Technologists, Trading & Investing businesses, Operations & Controllers to understand & explain observations in Risk data. 
 Coordinating with firm internal governing bodies such as Risk Committees and executive members of the firm 
 Interacting with firm external governing bodies such as external regulators and industry bodies 
Qualifications, Skills & Aptitude

 Entrepreneurial, creative, self-motivated and team-orientated 
 Excellent written and verbal communication skills. 
 Masters or Bachelors degree in a quantitative discipline such as mathematics, physics, econometrics or engineering. 
 Practical knowledge of mathematics and numerical algorithms, including statistics and time series analysis. 
 Practical knowledge of analytics tools and technologies such as Excel, SQL, Tableau, Alteryx. 
 Experience with, or keen interest to develop expertise in, programming skills with various languages such as Python, HTML, Javascript and/or C++. 
 Experience with, or keen interest to develop expertise in, development of risk analytics, interpretation & productivity tools for cultivating insights into risk & capital metric data. 
 Experience with, or keen interest to develop expertise in, financial markets & economics 

Opportunities

In performing the job function, you will have the following opportunities:

 Work in a dynamic & highly creative teamwork and consensus-orientated environment 
 Exposure to industry leading market data, pricing and risk & capital models for all activities the Firm engages in. 
 Exposure to large volumes of data (‘Big Data’) and the tools & techniques to interact with, and determine meaningful interpretations of, such data. 
 Development of quantitative and programming skills 
 Development of economic, financial product and market knowledge. 
 Engagement in critical internal risk management activities, and provision of data to both internal and external clients & Firm governing bodies 
 Opportunities to work with senior members of the Firm and a wide variety of groups across all areas of the Firm. 

About Goldman Sachs

At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.

We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.

We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability-statement.html

© The Goldman Sachs Group, Inc., 2023. All rights reserved.

Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Veteran/Sexual Orientation/Gender Identity"
Remote Data Science Analyst (Python),Turing,"A respected US-based client is looking for a devoted Data Scientist to join their dynamic team.

As part of the team, your duties as a Data Scientist will encompass conducting in-depth peer code reviews and providing valuable feedback for enhancement. You will also engage in close collaboration with researchers and stakeholders to meet project requirements effectively.

Job Responsibilities

Write Python scripts to analyze publicly available datasets and derive actionable insights.
Engage in collaborative efforts with researchers to ensure project alignment with company goals.
Utilize Jupyter notebooks for coding and documentation purposes, ensuring transparency and reproducibility.
Get data from platforms such as Kaggle to address business inquiries and improve strategic decision-making.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or relevant field.
Minimum of 2 years' experience as a data scientist.
Demonstrated expertise of 2 years in data analysis.
Proficiency in Python with 2 years of professional practice.
Strong understanding of data science and analysis principles.
Fluent in spoken and written English.

Desirable

Understanding of SQL is beneficial.
Strong problem-solving and analytical skills.

Job Benefits

Collaborate with top experts globally and join a network aligned with your goals
Enjoy the flexibility of remote work without traditional job constraints
Competitive salary based on global standards in USD
Contribute to groundbreaking projects that push technological boundaries and keep you ahead in your field.

Join us now and advance your career. Complete the tests and multiple-choice questions today to improve your chances of securing one of our exciting positions. Don't miss this opportunity to play a vital role in our mission and revolutionize the technology landscape for all."
Remote Data Science Analyst (Python),Turing,"A respected US-based client is looking for a devoted Data Scientist to join their dynamic team.

As part of the team, your duties as a Data Scientist will encompass conducting in-depth peer code reviews and providing valuable feedback for enhancement. You will also engage in close collaboration with researchers and stakeholders to meet project requirements effectively.

Job Responsibilities

Write Python scripts to analyze publicly available datasets and derive actionable insights.
Engage in collaborative efforts with researchers to ensure project alignment with company goals.
Utilize Jupyter notebooks for coding and documentation purposes, ensuring transparency and reproducibility.
Get data from platforms such as Kaggle to address business inquiries and improve strategic decision-making.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or relevant field.
Minimum of 2 years' experience as a data scientist.
Demonstrated expertise of 2 years in data analysis.
Proficiency in Python with 2 years of professional practice.
Strong understanding of data science and analysis principles.
Fluent in spoken and written English.

Desirable

Understanding of SQL is beneficial.
Strong problem-solving and analytical skills.

Job Benefits

Collaborate with top experts globally and join a network aligned with your goals
Enjoy the flexibility of remote work without traditional job constraints
Competitive salary based on global standards in USD
Contribute to groundbreaking projects that push technological boundaries and keep you ahead in your field.

Join us now and advance your career. Complete the tests and multiple-choice questions today to improve your chances of securing one of our exciting positions. Don't miss this opportunity to play a vital role in our mission and revolutionize the technology landscape for all."
Messaging Trust Data Analyst,Syniverse,"Syniverse is the world’s most connected company. Whether we’re developing the technology that enables intelligent cars to safely react to traffic changes or freeing travelers to explore by keeping their devices online wherever they go, we believe in leading the world forward. Which is why we work with some of the world’s most recognized brands. Eight of the top 10 banks. Four of the top 5 global technology companies. Over 900 communications providers. And how we’re able to provide our incredible talent with an innovative culture and great benefits.

Who We're Looking For

The Data Analyst is an internal facing professional who supports and provides human oversight for our machine learning Messaging Trust anti-spam/anti-fraud platform. The goal is to help train the machine learning/AI models and develop policies to reduce spam and block fraudulent messages. You will be assisting the Commercial Messaging, Product, and Data Science teams in helping their mobile operator and enterprise partners in protecting their end user customers. You’re passionate about engaging complex problems and driving to answers and resolution. It requires impeccable analytical and investigative skills with focus on details to create win/win results for customers and their customers/end users.

And your behaviors align strongly with our values, because ours do.

Some Of What You'll Do

The following are the functions that data analyst performs related to messaging reviews and action:

Perform daily reviews of current messaging Clusters (Patterns)
Review, analyze and determine if there are anomalies (i.e. spam/fraud content showing as ML Ham, messages incorrectly identified as ML Spam, etc.) in current message clustering that may require re-labeling and policy creation.
Take immediate action on Messages/Clusters determined to be Spam/Fraud, not limited to opening a ticket, includes recommendation/creation of new policies or rules.

Additionally, You Will

Be the point of contact for partner/customer facing teams on blocking actions.
Advise the reasons behind message blocking so that future improvements can be made by the customer.
Contribute to the success of the customer management team by reporting metrics back to leadership and customers
Work closely with product and data science teams to understand their measures of success and identify areas for improvement
Monitor success KPIs and report
Maintain product expertise by keeping abreast of technologies as they apply to Syniverse products and services

Requirements

2+ years in customer success or customer service
Detail-oriented with prior customer compliance experience
BS/BA in Business or Marketing
Strong interpersonal, communication and team skills
Strong analytical and problem resolution skills
Strong control and follow-up skills
Effective Business writing skills
Works in shifts to provide onsite 24hrs coverage on rotational basis and is flexible to work beyond stipulated hours.

Why You Should Join Us

Join us as we write a new chapter, guided by world-class leadership. Come be a part of an exciting and growing organization where we offer a competitive total compensation, flexible/remote work and with a leadership team committed to fostering an inclusive, collaborative, and transparent organizational culture.

At Syniverse connectedness is at the core of our business. We believe diversity, equity, and inclusion among our employees is crucial to our success as a global company as we seek to recruit, develop, and retain the most talented people who want to help us connect the world.

Know someone at Syniverse?

Be sure to have them submit you as a referral prior to applying for this position."
Internal Audit-Hyderabad-Analyst-Data Analytics,Goldman Sachs,"Job Description

What We Do

Internal Audit’s mission is to independently assess the firm’s internal control structure, including the firm’s governance processes and controls, risk management, capital and anti-financial crime framework. In addition, it is also to raise awareness of control risk and monitor the implementation of management’s control measures.

In Doing So, Internal Audit

Communicates and reports on the effectiveness of the firm’s governance, risk management and controls that mitigate current and evolving risk
Raise awareness of control risk
Assesses the firm’s control culture and conduct risks; and
Monitors management’s implementation of control measures

Goldman Sachs Internal Audit is organized into global teams comprising of business and technology auditors that cover all the firm’s businesses and functions - securities, investment banking, consumer and investment management, risk management, finance, cyber-security and technology risk, and engineering

Who We Look For

Goldman Sachs Internal Audit comprises individuals from diverse backgrounds including chartered accountants, developers, risk management professionals, cybersecurity professionals, and data scientists. We are organized into global teams comprising business and technology auditors to cover all the firm’s businesses and functions, including securities, investment banking, consumer and investment management, risk management, finance, cyber-security and technology risk, and engineering.

Embedded Data Analytics

In Internal Audit, we ensure that Goldman Sachs maintains effective controls by assessing the reliability of financial reports, monitoring the firm’s compliance with laws and regulations, and advising management on developing smart control solutions. Embed Data Analytics team leverages its programming and analytical capabilities to build innovative data driven solutions. The team works closely with auditors to understand their pain points and develop data-centric solutions to address the same

Your Impact

As part of the third line of defense, you will be involved in independently assessing the firm’s overall control environment and its effectiveness as it relates to current and emerging risks and communicating the results to local/ global management. In doing so, you will be supporting the provision of independent, objective and timely assurance around the firm’s internal control structure, thereby supporting the Audit Committee, Board of Directors and Risk Committee in fulfilling their oversight responsibilities.

We are looking for a strong data scientist, passionate about using data to challenge the norm, to join our Embed Data Analytics team. The candidate will work closely with the audit teams to build innovative and reusable analytical tools that will help make audit testing more efficient and provide meaningful insights into firm’s control environment

Responsibilities

Execute on DA strategy developed by IA management within the context of audit responsibilities, such as audit planning, creation of analytical tools and providing innovative solutions to complex problems 
Partner with audit teams to help identify risks associated with businesses and facilitate strategic data sourcing and develop innovative solutions to increase efficiency and effectiveness of audit testing
Build production ready analytical tools to automate repeatable and reusable processes within IA
Build and manage relationships and communications with Audit team members

Basic Qualifications

1-3 years of experience with a minimum of Bachelor's in Computer Science, Math, or Statistics
Experience with RDBMS/ SQL 
Proficiency in programming languages, such as Python and Familiarity with text analytics and NLP using python 
Knowledge of basic statistics and statistical modelling 
Time Series Analysis, correlation, and regression and predictive modelling, and its application to data
Strong team player with excellent communication skills (written and oral). Ability to communicate what is relevant and important in a clear and concise manner and ability to handle multiple tasks
Strong contributing member of Data Science team and help build analytical capabilities for Internal Audit Division
Driven and motivated and constantly taking initiative to improve performance

Preferred Qualifications

Experience with advanced data analytics tools and techniques
Familiarity with machine learning algorithms and exposure to supervised and unsupervised learning - Linear/Logistic Regression, SVM, Random Forest and Boosting,
Clustering and Patterns Recognition techniques
Experience with visualization tools (Spotfire, Qlikview or Tableau) is a plus
Creativity/Innovation, i.e., ability to create new ways to improve current processes and develop practical solutions that add value to department

About Goldman Sachs

At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.

We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.

We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability-statement.htm

© The Goldman Sachs Group, Inc., 2023. All rights reserved.

Goldman Sachs is an equal employment/affirmative action employer."
Data Operations Analyst,Instawork,"At Instawork, we’re driven by our vision to create economic opportunity for local businesses and skilled hourly professionals in communities around the world. With a growing number of hub cities across the world in the U.S., Canada, India, and beyond, we’re looking for top talent to help rapidly scale our high-tech and high-touch labor marketplace. Our accomplished and dedicated team is passionate about our mission and committed to crafting revolutionary products, all with the backing of our world-class investors, including Benchmark, Spark Capital, Craft Ventures, Greylock Capital, Y Combinator, and more!

Instawork is looking for an experienced and dynamic professional, who can deliver measurable success. Our ideal candidate is highly motivated, an excellent communicator with advanced research experience, can work well within a cooperative and friendly team as well as being able to work on their own initiative. The primary focus of the role is to work with the Sales, Ops & Marketing team to develop and deliver a healthy lead enhancement programme, driving qualified leads into the sales pipeline. The successful candidate must show they have the initiative to impact positive change to add value to our business.

This position will be based out of Instawork’s office in Bangalore and will offer significant opportunities for career progression while working in a fast-paced setup.

Key Responsibilities:

Demand Generation
Work on our CRM to update the relevant information of the leads
To generate lead opportunities using secondary research.
Manage, nurture and convert leads into sales opportunities.
Identify strong potential prospects using initiative and creativity.
Route qualified and appropriate leads to the sales team for further closure.
Work closely within a small sales & marketing team and develop cooperative working relationships across functions.
Advanced level research on Google, salesforce and linkedIn.
Provide accurate and timely information as required to managers and senior management.
Out reaching accounts using emails and other channels.
Proficient in the use of social media tools like LinkedIn, Zoominfo, Twitter, Facebook, Instagram etc.
Adhere to company policies, procedures, culture, and business values.
Passionate and learn to research about the Hospitality and Light industry


Required Qualification

Salesforce admin certification
Bachelor's Degree or equivalent practical experience with a CGPA of 6.5 and above
Should have good communication skills. 
Strong listening and presentation skills. 
Strong research skills in Google, LinkedIn.
Salesforce working experience 
2+ years of working experience in SEO and data research 
Service-oriented with a positive, well-motivated attitude. 
Intermediate to advanced IT skills with knowledge of Microsoft Office, Google Sheets and Social networking tools. 
Good organizational and time management skills with the flexibility to reprioritize as necessary.


About Instawork

Founded in 2016, Instawork is the leading flexible work app for local, hourly professionals. Its digital marketplace connects thousands of businesses and more than five million workers, filling a critical role in local economies. Instawork has been featured on CBS News, the Wall Street Journal, The Washington Post, Associated Press, and more. In 2022, Instawork was ranked among the country’s top 10% of fastest-growing companies by Inc. 5000 and was included in the Forbes Next Billion Dollar Startup list. Instawork was also named the 2022 ACE Award recipient for “Best Innovation” and one of the “Best Business Apps” by Business Insider. Instawork helps businesses in the food & beverage, hospitality, and warehouse/logistics industries fill temporary and permanent job opportunities in more than 25 markets across the U.S. and Canada. 

For more information visit www.instawork.com

We value diversity on our team and firmly believe Instawork is stronger when we hire people who make their own unique contributions to our culture. We welcome all applicants and encourage candidates from underrepresented backgrounds to apply. 

To learn more about our company values, please visit: https://info.instawork.com/about

Personnel Privacy Policy"
Data Analyst,CRISIL Limited,"Data Validation from primary and secondary sources, ensuring high level of data quality/integration process implementation.

Detect, examine, and decode trends or patterns within intricate datasets.

Cleanse data and scrutinize tech-generated reports and outputs to identify and rectify coding errors.

Coordinate with management to align business and informational priorities.

Identify opportunities for process enhancements.

Employ statistical techniques to scrutinize data and produce actionable business insights.

Collaborate with the management team to determine and rank the needs of different business units.

Develop data dashboards, charts, and visual aids to support decision-making across departments.

Convey insights through both reports and visual presentations.

Partner with engineering and product development teams to understand business requirements.

Engage with managers from various departments to specify data requirements for analysis projects tailored to their unique business processes.

Skills And Qualifications

Possess a solid foundation in excel and practical experience with data analysis

Exhibit exceptional analytical abilities to compile, structure, examine, and present substantial data sets with precision and thoroughness.

Capable of critically evaluating data to derive meaningful, actionable insights.

Demonstrate superior communication and presentation capabilities, adept at simplifying complex data insights for audiences without a technical background.

A bachelor's degree in Computer Science, Information Management, Statistics, or a comparable discipline is required, with prior experience in data analysis or a related field being advantageous.

Additional Requirements

Adept at report writing and presenting findings.

Ability to work under pressure and meet tight deadlines.

Basic proficiency in languages including SQL, Python, and R is a plus"
GN - Tech Strategy & Advisory - Data & Analytics- Analyst,Accenture in India,"About Accenture:

Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine unmatched experience and specialized capabilities across more than 40 industries – powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. With 509,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises.

About Capability Network:

Accenture Strategy shapes our clients’ future, combining deep business insight with the understanding of how technology will impact industry and business models. Our focus on issues such as digital disruption, redefining competitiveness, operating and business models as well as the workforce of the future helps our clients find future value and growth in a digital world. Today, every business is a digital business. Digital is changing the way organizations engage with their employees, business partners, customers and communities how they manufacture and deliver products and services, and how they run their organizations. This is our unique differentiator. We seek people who recognize and understand the impact that digital and technology have on every industry and every sector, and share our passion to shape unique strategies that allow our clients to succeed in this environment.

To bring this global perspective to our clients, Accenture Strategy's services include those provided by our Capability Network – a distributed management consulting organization that provides management consulting and strategy expertise across the client lifecycle. Approximately 3,000 consultants are part of this rapidly expanding network, providing specialized and strategic industry and functional consulting expertise from key locations around the world. Our Capability Network teams complement our in-country teams to deliver cutting-edge expertise and measurable value to clients all around the world. For more information visit www.accenture.com/capabilitynetwork.

Capability Network Videos:

Video title

External link

Accenture Capability Network

https://www.youtube.com/watch?v=-92pvOH1d_k

Accenture in One Word

https://www.youtube.com/watch?v=t1Fo8uNWZ-0

MBA Careers: What makes Accenture different

https://www.youtube.com/watch?v=5bg4u5Sczm8

Accenture Inclusion & The Power of Diversity

https://www.youtube.com/watch?v=2g88Ju6nkcg

 

Practice Overview:

Skill/Operating Group

Technology Consulting

Level

Consultant

Location

Gurgaon/Mumbai/Bangalore

Travel Percentage

Expected Travel could be anywhere between 0-100%

Why Technology Consulting

The Technology Consulting business within Capability Network invents the future for clients by providing them with the right guidance, design thinking and innovative solutions for technological transformation.

As technology rapidly evolves, it’s more important than ever to have an innovation advisor who can create a new vision or put one into place to solve the client’s toughest business problems.

Specialize in management or technology consulting to transform the world's leading organizations by building innovative business solutions as their trusted advisor by:

Helping Clients: Rethinking IT and Digital ecosystems and innovating to help clients keep pace with fast-changing, customer-driven environments.

Enhancing your Skillset: Building expertise and innovating with leading-edge technologies such as Blockchain, Artificial Intelligence and Cloud.

Transforming Businesses: Developing customized, next-generation products and services that help clients shift to new business models designed for today's connected landscape of disruptive technologies

Principal Duties 

And Responsibilities:

Working closely with our clients, Consulting professionals design, build and implement strategies, POC that can help enhance business performance. They develop specialized expertise—strategic, industry, functional, technical—in a diverse project environment that offers multiple opportunities for career growth. 

The opportunities to make a difference within exciting client initiatives are limitless in this ever-changing business landscape.

Here are just a few of your day-to-day responsibilities.

Identifying, Assessing and solving complex business problems for area of responsibility, where analysis of situations or data requires an in-depth evaluation of variable factors. 
Interact with client stakeholders to understand their AI problems, priority use-cases, define a problem statement, understand the scope of the engagement, and also drive projects to deliver value to the client 
Understand client’s business and IT goals, vision and identify opportunities for reinvestment 
Through your expertise and experience, guide your team-mates to suggest the right solutions to meet the needs of clients and help draw up practical implementation road maps that position them for long-term success 
Benchmark against global research benchmarks and leading industry peers to understand current & recommend AI solutions 
Conduct discovery workshops and design sessions to elicit AI opportunities & client pain areas. 
Experience in designing & developing Enterprise wide AI architecture & strategy 
Contribute towards practice development initiatives like new offering development, people management etc 


Qualifications:

MBA Degree from Tier-1 College (Preferable) 
Bachelor’s Degree 
AI/ML/Cloud AI Certifications preferred 
Minimum of 4-9 years large scale consulting experience and managing teams in a consulting environment or at high tech companies 


Experience:

We are looking for Advanced Analytics and AI Consultants to join our growing team having experience with Machine learning and NLP applications. Operating across all stages of the innovation spectrum, with a view to build the future.

Experience in designing and building end-to-end AI Strategy & solutions using Cloud & Non-Cloud AI ML, NLP algo. 
Assessment: Works as part of multi-disciplinary teams and responsible for independently driving specific AI workstreams through collaboration with designers, other AI team members, platform & Data engineers, business subject matter experts and technology delivery teams to assess AI potential and develop use cases. Liaises effectively with global community and senior leadership to identify and drive value opportunities around AI, support investments in POCs, pilots and chargeable projects. 
Design: The Consultant’s role on these projects centers around the application of analytics, data science and advanced cognitive methods to derive insights from data and develop POCs and appropriate high-level solution designs. Strong expertise in designing AutoML, MLOps AI solutions using any of the Cloud services (AWS, GCP, Azure). 
Architecture: The nature of these projects change as ideas and concepts mature, ranging from research, proofs-of-concept and the art-of-the-possible to the delivery of real-world applications for our clients. Focus in this area is on the impact to client’s technology landscape/ architecture and ensuring formulation of relevant guiding principles and platform components. Expertise in designing Enterprise AI strategy, Responsible AI frameworks is preferred. 


Strong experience handling multiple end-to-end AI Lifecycle projects from Data preparation, Modeling, Build, Train & Deploy.

Product/ Framework/ Tools evaluation: Collaborate with business experts for business understanding, working with other consultants and platform engineers for solutions and with technology teams for prototyping and client implementations. Evaluate existing products and frameworks available and develop options for proposed solutions. Have an understanding of the framework/ tools to engage the client in meaningful discussions and steer towards the right recommendation. 
Modeling: Strong SME knowledge in Data Preparation, Feature engineering, Feature selection, Training datasets, Algorithmic selection, Optimizing & Production deployment. 
Work as a technical SME to teams and client on advising right AI solutions. 
The Consultant should have practical industry expertise. The areas of Financial Services, Retail, Telecommunications, Life Sciences and Resources are of interest but experience in equivalent domains is also welcomed. Consultants should understand the key technology trends in their domain and the related business implications. 


Key Competencies and Skills:

Strong desire to work in technology-driven business transformation 
Strong knowledge of technology trends across IT and digital and how they can be applied to companies to address real world problems and opportunities. 
Exceptional interpersonal and presentation skills - ability to convey technology and business value propositions to senior stakeholders 
Team oriented and collaborative working style, both with clients and those within the organization. 
Capacity to develop high impact thought leadership that articulates a forward thinking view of the market. 
Ability to develop and maintain strong internal and client relationships 
Proven track record in working creatively and analytically in a problem-solving environment 
Proven success in contributing to a team-oriented environment with effective consulting skills 
Proven track record to quickly understand the key value drivers of a business, how they impact the scope and approach of the engagement 
Flexibility to accommodate client travel requirements 


Technical Skills

Good exposure to AI/NLP/ML algorithms and building models/chatbots/solutions. 
Expert in developing AI solutions using Cloud AI services (AWS, GCP, Azure). 
Strong understanding of entire ML project lifecycle from business issue identification, data audit to model maintenance in production 
Experience in conducting client workshops and AI use-case development & prioritization 
Strong knowledge on AI frameworks & algorithms 
Strong & relevant experience in end-to-end AI lifecycle from Data capture, Data preparation, Model planning, Model selection, Model build, train & test & Model Deployment 
Expert in designing AI pipelines, Feature engg, Feature selection, Labeling, Training & Optimizing models 
Good understanding on Scaling/Industrializing AI, Enterprise AI, Lean AI concepts, frameworks & tools 
Familiarity with some distributed storage frameworks and architectures 
Machine Learning Language: Python/Scala/R/SAS knowledge 
Virtual Agents – NLU, NLG, Text to speech 
ML Libraries – SciKit learn, Stanford, NLTK, Numpy, PyTorch etc 
Familiarity with cloud AI and Data offerings 
Database: HDFS, NoSQL, In-memory (Spark), Neo4j 
Experience with any of the platforms like IBM Watson, Microsoft ML, Google Cloud AI or AWS ML"
"Analyst, Commercial Analytics",Novartis,"Summary

Provide analytics support to Novartis internal customers (CPOs & Regional marketing and sales teams) on various low-medium complexity analytical reports. Support and facilitate data enabled decision making for Novartis internal customers by providing and communicating qualitative and quantitative analytics.

About The Role

Position Title : Analyst Business Analytics

Location – Hyd-india Hybrid

About The Role:

20+ brands catering to 50+ disease areas! The team of Novartis specialists within Insights & Analytics are on a data and digital transformation journey, using analytics to generate impactful insights for Novartis medicines impacting more than 500 million patients worldwide.

Your Responsibilities Include But Not Are Limited To:

 Solid understanding of multiple datasets (e.g. LAAD, Xponent, hard-working) and managing and coordinating data sets from databases to find patterns and trends.
 Redefining these complex and granular data into actionable insights.
 Responsible for standard and ad-hoc extracts/reports across multiple primary and secondary data sources.
 Responsible for tracking ongoing outcomes reports and manage priorities for upcoming reports.
 Sharing findings with partners with reports and presentations on a timely basis
 Putting together specifications to extract/transform data into required formats for different analytical elements using programming languages like SQL or other data processing tools.
 Build the foundation for more sophisticated approaches to APLD analysis and advanced analytics wherever it is required and beneficial.
 Establish and maintain positive relationships with key functional partners.

Essential Requirements:

 Ability to work independently and as an integral member of the team and Attention to detail and quality focused, good interpersonal and communication skills, influence, negotiation and tact skills, innovative, and collaborative behaviors and “can-do” orientation.
 Curiosity and strong analytical thinking, verbal and written communication skills and exposure to working in multi-functional/cultural environment.
 Good communication and interpersonal skills. Conceptual, analytical & tactical thinking, strategic thought process
 Ability to multi-task, work in a demanding distributed team environment, work under tight deadlines. Develop and maintain strong individual performance.
 Technical abilities: Excel, SQL or Dataiku, and PowerPoint is vital. Knowledge of statistical modeling or ML is a plus.

Desirable Requirements:

 Masters or Bachelor’s in STEM
 At least 3+ years of experience in data modeling and reporting solutions development and hands-on experience of APLD and US national and subnational datasets and ability to lead teams functionally.

Why Novartis?

Our purpose is to reimagine medicine to improve and extend people’s lives and our vision is to become the most valued and trusted medicines company in the world. How can we achieve this? With our people. It is our associates that drive us each day to reach our ambitions. Be a part of this mission and join us!

Learn more here: https://www.novartis.com/about/strategy/people-and-culture

Join our Novartis Network: If this role is not suitable to your experience or career goals but you wish to stay connected to hear more about Novartis and our career opportunities, join the Novartis Network here: https://talentnetwork.novartis.com/network

Commitment to Diversity & Inclusion: :

We are committed to building an outstanding, inclusive work environment and diverse teams representative of the patients and communities we serve.

Why Novartis: Helping people with disease and their families takes more than innovative science. It takes a community of smart, passionate people like you. Collaborating, supporting and inspiring each other. Combining to achieve breakthroughs that change patients’ lives. Ready to create a brighter future together? https://www.novartis.com/about/strategy/people-and-culture

Join our Novartis Network: Not the right Novartis role for you? Sign up to our talent community to stay connected and learn about suitable career opportunities as soon as they come up: https://talentnetwork.novartis.com/network"
